HND;USA;927273118.5
HND;VEN;1592220.5
JAM;ARG;7674.5
JAM;BLZ;2967031.5
JAM;BOL;0
JAM;BRA;4285000
JAM;CAN;173157308.5
JAM;CHL;207930
JAM;COL;1784563
JAM;CRI;96012.5
JAM;ECU;101982
JAM;GTM;120492.5
JAM;HND;440352.5
JAM;JAM;0
JAM;MEX;4894033
JAM;NIC;111163
JAM;PAN;1426006.5
JAM;PER;805205.5
JAM;PRY;0
JAM;SLV;34406
JAM;URY;0
JAM;USA;472788856
JAM;VEN;835019
MEX;ARG;526689698
MEX;BLZ;37464526.5
MEX;BOL;31191608.5
MEX;BRA;807851309
MEX;CAN;2009633775
MEX;CHL;849879603.5
MEX;COL;542896788.5
MEX;CRI;266160604
MEX;ECU;163324536
MEX;GTM;577642023
MEX;HND;134094331.5
MEX;JAM;75796992
MEX;MEX;0
MEX;NIC;76252782
MEX;PAN;275459836.5
MEX;PER;256205346.5
MEX;PRY;19606166
MEX;SLV;244667871
MEX;URY;67543061
MEX;USA;97472679210
MEX;VEN;733985450
NIC;ARG;15590.5
NIC;BLZ;29637
NIC;BOL;19126
NIC;BRA;20656
NIC;CAN;5913307
NIC;CHL;4032724.5
NIC;COL;1161401
NIC;CRI;24123949
NIC;ECU;69156
NIC;GTM;14848832
NIC;HND;25667336.5
NIC;JAM;2029874.5
NIC;MEX;12435578
NIC;NIC;0
NIC;PAN;1767209.5
NIC;PER;57745.5
NIC;PRY;0
NIC;SLV;57636243
NIC;URY;0
NIC;USA;258095112.5
NIC;VEN;678492.5
PAN;ARG;130150
PAN;BLZ;381246
PAN;BOL;1967635
PAN;BRA;199666.5
PAN;CAN;18248626.5
PAN;CHL;1587243
PAN;COL;10713438
PAN;CRI;43696922.5
PAN;ECU;8220655
PAN;GTM;15272813.5
PAN;HND;24705736
PAN;JAM;1808585.5
PAN;MEX;5653896
PAN;NIC;10584746.5
PAN;PAN;0
PAN;PER;1748997.5
PAN;PRY;49512.5
PAN;SLV;11337659
PAN;URY;178428.5
PAN;USA;310528866.5
PAN;VEN;2311719.5
PER;ARG;38374656
PER;BLZ;41835
PER;BOL;113384456.5
PER;BRA;218194638.5
PER;CAN;122848915.5
PER;CHL;135346062
PER;COL;148963496.5
PER;CRI;11397518
PER;ECU;106375457
PER;GTM;13307116.5
PER;HND;2766567.5
PER;JAM;902337
PER;MEX;125703086
PER;NIC;925906.5
PER;PAN;29592720.5
PER;PER;0
PER;PRY;1532873
PER;SLV;5101702
PER;URY;4804145.5
PER;USA;1716362087
PER;VEN;123273874.5
PRY;ARG;128163413.5
PRY;BLZ;0
PRY;BOL;4883551
PRY;BRA;403463132.5
PRY;CAN;284369
PRY;CHL;37144465
PRY;COL;1810450.5
PRY;CRI;88425
PRY;ECU;344525
PRY;GTM;197656.5
PRY;HND;39771
PRY;JAM;6570
PRY;MEX;1501977
PRY;NIC;72275.5
PRY;PAN;3850938
PRY;PER;7998570
PRY;PRY;0
PRY;SLV;18447
PRY;URY;26235693
PRY;USA;70100919
PRY;VEN;9772730
SLV;ARG;731766
SLV;BLZ;4308394
SLV;BOL;385462
SLV;BRA;69043
SLV;CAN;4738396
SLV;CHL;1438462
SLV;COL;2674957
SLV;CRI;110305710
SLV;ECU;2559222
SLV;GTM;282491517
SLV;HND;148712284
SLV;JAM;3204970
SLV;MEX;17285724
SLV;NIC;74944200
SLV;PAN;24272875
SLV;PER;5935309
SLV;PRY;107764
SLV;SLV;0
SLV;URY;202538
SLV;USA;270036129
SLV;VEN;2629250
URY;ARG;433921022
URY;BLZ;267108
URY;BOL;3157531.5
URY;BRA;937603902
URY;CAN;26596362
URY;CHL;65082993
URY;COL;14623697.5
URY;CRI;514265.5
URY;ECU;0
URY;GTM;1243014.5
URY;HND;355557.5
URY;JAM;2458613
URY;MEX;29097744
URY;NIC;45132.5
URY;PAN;616946.5
URY;PER;32452102
URY;PRY;72255778.5
URY;SLV;2040340
URY;URY;0
URY;USA;161465035
URY;VEN;21428201
USA;ARG;5846509991
USA;BLZ;117351439
USA;BOL;349076654
USA;BRA;15534626934
USA;CAN;152000000000
USA;CHL;4180059272
USA;COL;5007644015
USA;CRI;2161355629
USA;ECU;1686567779
USA;GTM;1834297007
USA;HND;2168161533
USA;JAM;1360562511
USA;MEX;75175816375
USA;NIC;312942783
USA;PAN;1645200845
USA;PER;2007826127
USA;PRY;849511879
USA;SLV;1515041501
USA;URY;569478128
USA;USA;0
USA;VEN;6563599523
VEN;ARG;47293521.5
VEN;BLZ;283461.5
VEN;BOL;5444080
VEN;BRA;815153203
VEN;CAN;445727307
VEN;CHL;176257871.5
VEN;COL;1386146065
VEN;CRI;188199644
VEN;ECU;221171997
VEN;GTM;132941000
VEN;HND;31147772
VEN;JAM;57537648.5
VEN;MEX;303282647
VEN;NIC;51266203
VEN;PAN;156382192.5
VEN;PER;381653686
VEN;PRY;4909020.5
VEN;SLV;20280903
VEN;URY;54107700.5
VEN;USA;10908069313
VEN;VEN;0
